name,latitude,longitude
Siêu thị Điện máy Chợ Lớn,10.7535527,106.6646685
Chung cư Nguyễn Trãi,10.7542545,106.6681673
Bệnh viện Nguyễn Tri Phương,10.7556835,106.6695131
Cư xá Đô Thành,10.7732529,106.6797477
Trạm Xe Bus Bệnh Viện Bình Dân,10.7745133,106.681099
Cách mạng Tháng 8,10.777081,106.6841548
Bệnh viện Mắt Thành phố,10.7782415,106.6854428
Sở Khoa học Và Công nghệ Thành phố,10.7802465,106.6875796
Trường Trung học Phổ thông Marie Curie,10.7828454,106.690229
Phạm Ngọc Thạch,10.7850268,106.6924163
Công viên Lê Văn Tám,10.7869042,106.6941735
Đinh Tiên Hoàng,10.789511,106.6967242
Cầu Bông,10.7960004,106.6962557
Bệnh viện Quận Bình Thạnh,10.7986201,106.6964219
Lăng Ông Bà Chiểu,10.8009837,106.6965741
Bệnh viện Gia Định,10.8035837,106.6950028
Bệnh viện Ung bướu,10.8054414,106.695747
Trường Tiểu học Nguyễn Đình Chiểu,10.8035722,106.6983624
Tòa án Nhân dân Quận Bình Thạnh,10.8036395,106.7011521
Chùa Bồ Đề,10.8033062,106.7039798
Lăng Lê Văn Duyệt,10.8030815,106.706623
Đường số 20,10.8278653,106.7209914
Cá sấu Hoa cà,10.8335557,106.7283443
Trường Trung học Cơ sở Ngô Chí Quốc,10.8355389,106.7307817
Chùa An Lạc,10.8375756,106.7335202
Trường Cao đẳng Vinatex,10.8407745,106.7441006
Trạm xăng 27-7,10.8412457,106.7462659
Trạm Cầu Ngang,10.8474307,106.7520671
Bùi Minh Trực,10.7363198,106.6562656
Bùi Minh Trực,10.7364818,106.6561627
Cầu Nhị Thiên Đường,10.7386398,106.6563329
Chùa Pháp Quang,10.7386092,106.6561777
Tùng Thiện Vương,10.744774,106.6568736
Chợ Xóm Củi,10.7461307,106.6597469
Bệnh viện Hùng Vương,10.7557328,106.662165
Bệnh viện Hùng Vương,10.7560739,106.6622256
CoopMart Lý Thường Kiệt,10.7595951,106.661237
Trạm Xe Bus Chung Cư Lý Thường Kiệt,10.7613589,106.6607257
Chợ Nhật Tảo,10.7617225,106.6605194
Điện lực Phú Thọ,10.7651927,106.6596828
Bệnh viện Trung Vương,10.7696052,106.6582692
Bệnh viện Trưng Vương,10.7697048,106.6584645
Đại học Bách Khoa,10.7713016,106.6578284
Bưu điện Phú Thọ,10.7754041,106.656636
Bưu điện Phú Thọ,10.7765172,106.6565248
Ngã ba Thành Thái,10.7786848,106.6559366
Siêu thị Nguyễn Kim - CMC Tân Bình,10.7826742,106.6546064
Cây xăng Đôi,10.7838332,106.6544474
Chợ Tân Bình,10.7861392,106.653633
Chợ Tân Bình,10.786201,106.6537713
Bệnh viện Chỉnh hình và Phục hồi Chức năng,10.7887502,106.6528625
Bệnh viện Chỉnh hình và Phục hồi Chức năng,10.7886183,106.6530875
Bệnh viện Thống Nhất,10.7920819,106.6530411
Bệnh viện Thống Nhất,10.7920852,106.6528298
Bệnh viện Quận Tân Bình,10.794588,106.6550469
Hội chợ Triển lãm Tân Bình,10.7961028,106.6551443
Cây xăng Đôi,10.794212,106.6521699
Nhà hàng Đông Phương,10.7985489,106.6592306
Siêu thị Big C - 202 Hoàng Văn Thụ,10.8001274,106.6695561
Đại học Bách Khoa (cổng sau),10.7730637,106.6610755
Đại học Bách Khoa,10.7739998,106.6614617
Ngân hàng Quân Đội - 136 Tô Hiến Thành,10.7755911,106.6628695
Bệnh Viện 115,10.7732847,106.6647972
Trạm Xe Bus Học Viện Quân Y,10.7723901,106.6651725
Trạm Xe Bus Trường THPT Diên Hồng,10.7697677,106.6661891
Trạm Xe Bus Siêu Thị Sài Gòn,10.7685467,106.666733
Bến Bạch Đằng,10.7733704,106.7063876
Trần Bình Trọng,10.7550488,106.679796
Trường Cao đẳng Kinh Tế Đối ngoại,10.7555901,106.6818025
Nguyễn Biểu,10.7558691,106.6828285
Trường Quốc tế Canada,10.7146981,106.7297239
Bệnh viện Phước An,10.8036475,106.6879046
Uỷ ban Nhân dân Quận Bình Thạnh,10.8026975,106.6951454
Trạm Xe Bus Kha Vạn Cân - Ngã 4 Bình Triệu,10.8270992,106.7153558
Kha Vạn Cân,10.8281353,106.7191144
Công ty Coca-Cola,10.8568575,106.7855236
Trường Trung học Cơ sở Hoàng Văn Thụ,10.7633262,106.6680077
Nhà Văn hóa Quận 5,10.7530168,106.6685648
Nhà thi đấu Phú Thọ,10.7706289,106.6567257
Coopmart Phú Thọ,10.7711576,106.653285
Tôn Thất Hiệp,10.7655873,106.6547924
Trường đua Phú Thọ,10.7673398,106.6535431
Trường đua Phú Thọ,10.7672684,106.6533586
Trạm Xe Bus Lê Đại Hành - Đối diện Flemington,10.7648824,106.6551268
Nhà sách Phương Nam,10.7631383,106.658512
Ngã ba Nguyễn Kim,10.7643299,106.6610573
Ngã ba Nguyễn Kim,10.7649041,106.6618098
Bệnh viện Nhi đồng 1,10.7678041,106.6703996
Bệnh viện Nhi đồng 1,10.7679785,106.6697602
Chợ Phường 10,10.7676535,106.6733812
Chợ Phường 10,10.7678299,106.6731242
Hồ Thị Kỷ,10.7673926,106.6756642
Ngã ba Hồ Thị Kỷ,10.7672304,106.6756198
Đại học Khoa học Tự nhiên,10.7622515,106.6830377
